archive,path,temperature_c,pressure_bar,ramp,status,invalid_reason,support_distance,supported,fusion,score_60000,energy_score_60000,confirmed_60000,score_120000,energy_score_120000,confirmed_120000,score_180000,energy_score_180000,confirmed_180000,score_260000,energy_score_260000,confirmed_260000,score_300000,energy_score_300000,confirmed_300000
reversible,T43_Reversible_Damage/25-06-11_10-18-44_GW_RD_T43_450bar.h5,43,450,random,complete,,0.5064883198667164,True,no_alarm,0.2301524206995964,0.08279407237257276,False,0.49315901207072393,0.18794651755264827,False,0.5286922050373895,0.24356594255992345,False,0.53904021105596,0.3090702657188688,False,0.6028274766036442,0.28469843736716677,True
reversible,T43_Reversible_Damage/25-06-11_10-24-02_GW_RD_T43_400bar.h5,43,400,random,complete,,0.5210868163382458,True,no_alarm,0.22743108655725205,0.07640255774770464,False,0.47006991505622864,0.167093568614551,False,0.49566767684050966,0.22236377000808716,False,0.5074818783572742,0.2676687666348049,False,0.5703938262803214,0.25849685072898865,False
reversible,T43_Reversible_Damage/25-06-11_10-29-26_GW_RD_T43_50bar.h5,43,50,random,complete,,0.6292011000463511,True,no_alarm,0.19568753189274243,0.07181409214224134,False,0.3655979015997478,0.1424624983753477,False,0.45007211714982986,0.20995984758649552,False,0.4685999495642526,0.15986348688602448,False,0.4593933086310114,0.17352602098669326,False
reversible,T43_Reversible_Damage/25-06-11_10-34-44_GW_RD_T43_200bar.h5,43,200,random,complete,,0.5654034609515103,True,no_alarm,0.2164239745054926,0.09788315849644798,False,0.5812097702707563,0.19899863856179373,True,0.5393389974321637,0.2392785464014326,False,0.5041362792253494,0.2619142404624394,False,0.533176101744175,0.24316173791885376,False
baseline,T49_Baseline/25-06-04_17-50-29_GW_Baseline_T49_100bar.h5,49,100,random,complete,,0.5202935185089983,True,no_alarm,0.13032215567571775,0.0528713230575834,False,0.616117041025843,0.1441949371780668,True,0.33558961749076843,0.13637059714112962,False,0.46612251017774853,0.14606002186025893,False,0.4387443374310221,0.19000875524112157,False
baseline,T49_Baseline/25-06-04_17-56-02_GW_Baseline_T49_650bar.h5,49,650,random,complete,,0.5686982990523228,True,no_alarm,0.07640112244657107,0.01831548980304173,False,0.17559616108025825,0.03251355034964425,False,0.4064473254340036,0.04935977714402335,False,0.36342959638152805,0.055700293609074185,False,0.4789138691765921,0.06046349235943386,False
baseline,T49_Baseline/25-06-04_18-01-32_GW_Baseline_T49_700bar.h5,49,700,random,complete,,0.5790460956353493,True,no_alarm,0.07407385536602565,0.014525377324649267,False,0.13971059450081416,0.033649487154824395,False,0.31860964958156857,0.04118931719235012,False,0.29873758873769213,0.05409046368939536,False,0.4723504739148276,0.06585130521229335,False
baseline,T49_Baseline/25-06-04_18-06-53_GW_Baseline_T49_300bar.h5,49,300,random,complete,,0.5459345196463771,True,no_alarm,0.13229434830801828,0.06739457164491926,False,0.24089518668396132,0.11598268151283264,False,0.3148881494998932,0.11687736426080976,False,0.43756489775010515,0.24295902252197266,False,0.5567164995840618,0.28068014127867563,False
baseline,T49_Baseline/25-06-04_18-12-14_GW_Baseline_T49_150bar.h5,49,150,random,complete,,0.5498213735506906,True,no_alarm,0.09270344914070197,0.03925532102584839,False,0.18281900403755053,0.06769958989960807,False,0.2494733567748751,0.0811135470867157,False,0.3511281151856695,0.15044408185141428,False,0.454393738082477,0.21766914640154159,False
baseline,T49_Baseline/25-06-04_18-17-32_GW_Baseline_T49_350bar.h5,49,350,random,complete,,0.5035357563287205,True,no_alarm,0.0758042245038918,0.0112988714660917,False,0.13269593114299433,0.044283626335007806,False,0.1938080122428281,0.03125805301325662,False,0.24564935958811215,0.04831533772604806,False,0.45971234355654034,0.058043130806514194,False
